"Control Index","Assessment Objective Index","CMMC Level","CMMC Domain Abbreviation","CMMC Domain","Control ID","Control Name","Assessment Objective","Assessment Objective Description"
"","120","","","","","","d","changes to the system are logged."
"38","121","2","CM","Configuration Management","CM.L2-3.4.4","Security Impact Analysis","a","the security impact of changes to the system is analyzed prior to implementation."
"39","122","2","CM","Configuration Management","CM.L2-3.4.5","Access Restrictions for Change","a","physical access restrictions associated with changes to the system are defined;"
"","123","","","","","","b","physical access restrictions associated with changes to the system are documented;"
"","124","","","","","","c","physical access restrictions associated with changes to the system are approved;"
"","125","","","","","","d","physical access restrictions associated with changes to the system are enforced;"
"","126","","","","","","e","logical access restrictions associated with changes to the system are defined;"
"","127","","","","","","f","logical access restrictions associated with changes to the system are documented;"
"","128","","","","","","g","logical access restrictions associated with changes to the system are approved; and"
"","129","","","","","","h","logical access restrictions associated with changes to the system are enforced."
"40","130","2","CM","Configuration Management","CM.L2-3.4.6","Least Functionality","a","essential system capabilities are defined based on the principle of least functionality; and"
"","131","","","","","","b","the system is configured to provide only the defined essential capabilities."
"41","132","2","CM","Configuration Management","CM.L2-3.4.7","Nonessential Functionality","a","essential programs are defined;"
"","133","","","","","","b","the use of nonessential programs is defined;"
"","134","","","","","","c","the use of nonessential programs is restricted, disabled, or prevented as defined;"
"","135","","","","","","d","essential functions are defined;"
"","136","","","","","","e","the use of nonessential functions is defined;"
"","137","","","","","","f","the use of nonessential functions is restricted, disabled, or prevented as defined;"
"","138","","","","","","g","essential ports are defined;"
"","139","","","","","","h","the use of nonessential ports is defined;"
"","140","","","","","","i","the use of nonessential ports is restricted, disabled, or prevented as defined;"
"","141","","","","","","j","essential protocols are defined;"
"","142","","","","","","k","the use of nonessential protocols is defined;"
"","143","","","","","","l","the use of nonessential protocols is restricted, disabled, or prevented as defined;"
"","144","","","","","","m","essential services are defined;"
"","145","","","","","","n","the use of nonessential services is defined; and"
"","146","","","","","","o","the use of nonessential services is restricted, disabled, or prevented as defined."
"42","147","2","CM","Configuration Management","CM.L2-3.4.8","Application Execution Policy","a","a policy specifying whether whitelisting or blacklisting is to be implemented is specified;"
"","148","","","","","","b","the software allowed to execute under whitelisting or denied use under blacklisting is specified; and"
"","149","","","","","","c","whitelisting to allow the execution of authorized software or blacklisting to prevent the use of unauthorized software is implemented as specified."
"43","150","2","CM","Configuration Management","CM.L2-3.4.9","User-Installed Software","a","a policy for controlling the installation of software by users is established;"
"","151","","","","","","b","installation of software by users is controlled based on the established policy; and"
"","152","","","","","","c","installation of software by users is monitored."
"44","153","2","IA","Identification and Authentication","IA.L2-3.5.1","Identification [CUI Data]","a","system users are identified;"
"","154","","","","","","b","processes acting on behalf of users are identified; and"
"","155","","","","","","c","devices accessing the system are identified."
"45","156","2","IA","Identification and Authentication","IA.L2-3.5.2","Authentication [CUI Data]","a","the identity of each user is authenticated or verified as a prerequisite to system access;"
"","157","","","","","","b","the identity of each process acting on behalf of a user is authenticated or verified as a prerequisite to system access; and"
"","158","","","","","","c","the identity of each device accessing or connecting to the system is authenticated or verified as a prerequisite to system access."
"46","159","2","IA","Identification and Authentication","IA.L2-3.5.3","Multifactor Authentication","a","privileged accounts are identified;"
"","160","","","","","","b","multifactor authentication is implemented for local access to privileged accounts;"
"","161","","","","","","c","multifactor authentication is implemented for network access to privileged accounts; and"
"","162","","","","","","d","multifactor authentication is implemented for network access to non-privileged accounts."
"47","163","2","IA","Identification and Authentication","IA.L2-3.5.4","Replay-Resistant Authentication","a","replay-resistant authentication mechanisms are implemented for network account access to privileged and non-privileged accounts."
"48","164","2","IA","Identification and Authentication","IA.L2-3.5.5","Identifier Reuse","a","a period within which identifiers cannot be reused is defined; and"
"","165","","","","","","b","reuse of identifiers is prevented within the defined period."
"49","166","2","IA","Identification and Authentication","IA.L2-3.5.6","Identifier Handling","a","a period of inactivity after which an identifier is disabled is defined; and"
"","167","","","","","","b","identifiers are disabled after the defined period of inactivity."
"50","168","2","IA","Identification and Authentication","IA.L2-3.5.7","Password Complexity","a","password complexity requirements are defined;"
"","169","","","","","","b","password change of character requirements are defined;"
"","170","","","","","","c","minimum password complexity requirements as defined are enforced when new passwords are created; and"
"","171","","","","","","d","minimum password change of character requirements as defined are enforced when new passwords are created."
"51","172","2","IA","Identification and Authentication","IA.L2-3.5.8","Password Reuse","a","the number of generations during which a password cannot be reused is specified and"
"","173","","","","","","b","reuse of passwords is prohibited during the specified number of generations."
"52","174","2","IA","Identification and Authentication","IA.L2-3.5.9","Temporary Passwords","a","an immediate change to a permanent password is required when a temporary password is used for system logon."
"53","175","2","IA","Identification and Authentication","IA.L2-3.5.10","Cryptographically-Protected Passwords","a","passwords are cryptographically protected in storage; and"
"","176","","","","","","b","passwords are cryptographically protected in transit."
"54","177","2","IA","Identification and Authentication","IA.L2-3.5.11","Obscure Feedback","a","authentication information is obscured during the authentication process."
"55","178","2","IR","INCIDENT RESPONSE","IR.L2-3.6.1","Incident Handling","a","an operational incident-handling capability is established;"
"","179","","","","","","b","the operational incident-handling capability includes preparation;"
"","180","","","","","","c","the operational incident-handling capability includes detection;"
"","181","","","","","","d","the operational incident-handling capability includes analysis;"
"","182","","","","","","e","the operational incident-handling capability includes containment;"
"","183","","","","","","f","the operational incident-handling capability includes recovery; and"
"","184","","","","","","g","the operational incident-handling capability includes user response activities."
"56","185","2","IR","Incident Response","IR.L2-3.6.2","Incident Reporting","a","incidents are tracked;"
"","186","","","","","","b","incidents are documented;"
"","187","","","","","","c","authorities to whom incidents are to be reported are identified;"
"","188","","","","","","d","organizational officials to whom incidents are to be reported are identified;"
"","189","","","","","","e","identified authorities are notified of incidents; and"
"","190","","","","","","f","identified organizational officials are notified of incidents."
"57","191","2","IR","Incident Response","IR.L2-3.6.3","Incident Response Testing","a","the incident response capability is tested."
"58","192","2","MA","MAINTENANCE","MA.L2-3.7.1","Perform Maintenance","a","system maintenance is performed."
"59","193","2","MA","Maintenance","MA.L2-3.7.2","System Maintenance Control","a","tools used to conduct system maintenance are controlled;"
"","194","","","","","","b","techniques used to conduct system maintenance are controlled;"
"","195","","","","","","c","mechanisms used to conduct system maintenance are controlled; and"
"","196","","","","","","d","personnel used to conduct system maintenance are controlled."
"60","197","2","MA","Maintenance","MA.L2-3.7.3","Equipment Sanitization","a","equipment to be removed from organizational spaces for off-site maintenance is sanitized of any CUI."
"61","198","2","MA","Maintenance","MA.L2-3.7.4","Media Inspection","a","media containing diagnostic and test programs are checked for malicious code before being used in organizational systems that process, store, or transmit CUI."
"62","199","2","MA","Maintenance","MA.L2-3.7.5","Nonlocal Maintenance","a","multifactor authentication is used to establish nonlocal maintenance sessions via external network connections; and"
"","200","","","","","","b","nonlocal maintenance sessions established via external network connections are terminated when nonlocal maintenance is complete."
"63","201","2","MA","Maintenance","MA.L2-3.7.6","Maintenance Personnel","a","maintenance personnel without required access authorization are supervised during maintenance activities."
"64","202","2","MP","Media Protection","MP.L2-3.8.1","Media Protection","a","paper media containing CUI is physically controlled;"
"","203","","","","","","b","digital media containing CUI is physically controlled;"
"","204","","","","","","c","paper media containing CUI is securely stored; and"
"","205","","","","","","d","digital media containing CUI is securely stored."
"65","206","2","MP","Media Protection","MP.L2-3.8.2","Media Access","a","access to CUI on system media is limited to authorized users."
"66","207","2","MP","Media Protection","MP.L2-3.8.3","Media Disposal [CUI Data]","a","system media containing CUI is sanitized or destroyed before disposal; and"
"","208","","","","","","b","system media containing CUI is sanitized before it is released for reuse."
"67","209","2","MP","Media Protection","MP.L2-3.8.4","Media Markings","a","media containing CUI is marked with applicable CUI markings; and"
"","210","","","","","","b","media containing CUI is marked with distribution limitations."
"68","211","2","MP","Media Protection","MP.L2-3.8.5","Media Accountability","a","access to media containing CUI is controlled; and"
"","212","","","","","","b","accountability for media containing CUI is maintained during transport outside of controlled areas."
"69","213","2","MP","Media Protection","MP.L2-3.8.6","Portable Storage Encryption","a","the confidentiality of CUI stored on digital media is protected during transport using cryptographic mechanisms or alternative physical safeguards."
"70","214","2","MP","Media Protection","MP.L2-3.8.7","Removeable Media","a","the use of removable media on system components is controlled."
"71","215","2","MP","Media Protection","MP.L2-3.8.8","Shared Media","a","the use of portable storage devices is prohibited when such devices have no identifiable owner."
"72","216","2","MP","Media Protection","MP.L2-3.8.9","Protect Backups","a","the confidentiality of backup CUI is protected at storage locations."
"73","217","2","PS","PERSONNEL SECURITY","PS.L2-3.9.1","Screen Individuals","a","individuals are screened prior to authorizing access to organizational systems containing CUI."
"74","218","2","PS","Personnel Security","PS.L2-3.9.2","Personnel Actions","a","a policy and/or process for terminating system access and any credentials coincident with personnel actions is established;"
"","219","","","","","","b","system access and credentials are terminated consistent with personnel actions such as termination or transfer; and"
"","220","","","","","","c","the system is protected during and after personnel transfer actions."
"75","221","2","PE","Physical Protection","PE.L2-3.10.1","LIMIT PHYSICAL ACCESS [CUI DATA]","a","authorized individuals allowed physical access are identified;"
"","222","","","","","","b","physical access to organizational systems is limited to authorized individuals;"
"","223","","","","","","c","physical access to equipment is limited to authorized individuals; and"
"","224","","","","","","d","physical access to operating environments is limited to authorized individuals."
"76","225","2","PE","Physical Protection","PE.L2-3.10.2","Monitor Facility","a","the physical facility where organizational systems reside is protected;"
"","226","","","","","","b","the support infrastructure for organizational systems is protected;"
"","227","","","","","","c","the physical facility where organizational systems reside is monitored; and"
"","228","","","","","","d","the support infrastructure for organizational systems is monitored."
"77","229","2","PE","Physical Protection","PE.L2-3.10.3","Escort Visitors [CUI Data]","a","visitors are escorted; and"
"","230","","","","","","b","visitor activity is monitored."
"78","231","2","PE","Physical Protection","PE.L2-3.10.4","Physical Access Logs [CUI Data]","a","audit logs of physical access are maintained."
"79","232","2","PE","Physical Protection","PE.L2-3.10.5","Manage Physical Access [CUI Data]","a","physical access devices are identified;"
"","233","","","","","","b","physical access devices are controlled; and"
"","234","","","","","","c","physical access devices are managed."
"80","235","2","PE","Physical Protection","PE.L2-3.10.6","Alternative Work Sites","a","safeguarding measures for CUI are defined for alternate work sites; and"
"","236","","","","","","b","safeguarding measures for CUI are enforced for alternate work sites."
"81","237","2","RA","RISK ASSESSMENT","RA.L2-3.11.1","RIsk Assessments","a","the frequency to assess risk to organizational operations, organizational assets, and individuals is defined; and"
"","238","","","","","","b","risk to organizational operations, organizational assets, and individuals resulting from the operation of an organizational system that processes, stores, or transmits CUI is assessed with the defined frequency."
"82","239","2","RA","Risk Assessment","RA.L2-3.11.2","Vulnerability Scan","a","the frequency to scan for vulnerabilities in organizational systems and applications is defined;"
"","240","","","","","","b","vulnerability scans are performed on organizational systems with the defined frequency;"
"","241","","","","","","c","vulnerability scans are performed on applications with the defined frequency;"
"","242","","","","","","d","vulnerability scans are performed on organizational systems when new vulnerabilities are identified; and"
"","243","","","","","","e","vulnerability scans are performed on applications when new vulnerabilities are identified."
"83","244","2","RA","Risk Assessment","RA.L2-3.11.3","Vulnerability Remediation","a","vulnerabilities are identified; and"
"","245","","","","","","b","vulnerabilities are remediated in accordance with risk assessments."
"84","246","2","CA","SECURITY ASSESSMENT","CA.L2-3.12.1","Security Control Assessment","a","the frequency of security control assessments is defined; and"
"","247","","","","","","b","security controls are assessed with the defined frequency to determine if the controls are effective in their application."
"85","248","2","CA","Security Assessment","CA.L2-3.12.2","operational Plan of Action","a","deficiencies and vulnerabilities to be addressed by the plan of action are identified;"
"","249","","","","","","b","a plan of action is developed to correct identified deficiencies and reduce or eliminate identified vulnerabilities; and"
"","250","","","","","","c","the plan of action is implemented to correct identified deficiencies and reduce or eliminate identified vulnerabilities."
"86","251","2","CA","Security Assessment","CA.L2-3.12.3","Security Control Monitoring","a","security controls are monitored on an ongoing basis to ensure the continued effectiveness of those controls."
"87","252","2","CA","Security Assessment","CA.L2-3.12.4","System Security Plan","a","a system security plan is developed;"
"","253","","","","","","b","the system boundary is described and documented in the system security plan;"
"","254","","","","","","c","the system environment of operation is described and documented in the system security plan;"
"","255","","","","","","d","the security requirements identified and approved by the designated authority as non-applicable are identified;"
"","256","","","","","","e","the method of security requirement implementation is described and documented in the system security plan;"
"","257","","","","","","f","the relationship with or connection to other systems is described and documented in the system security plan;"
"","258","","","","","","g","the frequency to update the system security plan is defined; and"
"","259","","","","","","h","system security plan is updated with the defined frequency."
"88","260","2","SC","System and Communications Protection","SC.L2-3.13.1","Boundary Protection [CUI Data]","a","the external system boundary is defined;"
"","261","","","","","","b","key internal system boundaries are defined;"
"","262","","","","","","c","communications are monitored at the external system boundary;"
"","263","","","","","","d","communications are monitored at key internal boundaries;"
"","264","","","","","","e","communications are controlled at the external system boundary;"
"","265","","","","","","f","communications are controlled at key internal boundaries;"
"","266","","","","","","g","communications are protected at the external system boundary; and"
"","267","","","","","","h","communications are protected at key internal boundaries."
"89","268","2","SC","System and Communications Protection","SC.L2-3.13.2","Security Engineering","a","architectural designs that promote effective information security are identified;"
"","269","","","","","","b","software development techniques that promote effective information security are identified;"
"","270","","","","","","c","systems engineering principles that promote effective information security are identified;"
"","271","","","","","","d","identified architectural designs that promote effective information security are employed;"
"","272","","","","","","e","identified software development techniques that promote effective information security are employed; and"
"","273","","","","","","f","identified systems engineering principles that promote effective information security are employed."
"90","274","2","SC","System and Communications Protection","SC.L2-3.13.3","Role Separation","a","user functionality is identified;"
"","275","","","","","","b","system management functionality is identified; and"
"","276","","","","","","c","user functionality is separated from system management functionality."
"91","277","2","SC","System and Communications Protection","SC.L2-3.13.4","Shared Resource Control","a","unauthorized and unintended information transfer via shared system resources is prevented."
"92","278","2","SC","System and Communications Protection","SC.L2-3.13.5","Public-Access System Separation [CUI Data]","a","publicly accessible system components are identified; and"
"","279","","","","","","b","subnetworks for publicly accessible system components are physically or logically separated from internal networks."
"93","280","2","SC","System and Communications Protection","SC.L2-3.13.6","Network Communication by Exception","a","network communications traffic is denied by default; and"
"","281","","","","","","b","network communications traffic is allowed by exception."
"94","282","2","SC","System and Communications Protection","SC.L2-3.13.7","Split Tunneling","a","remote devices are prevented from simultaneously establishing non-remote connections with the system and communicating via some other connection to resources in external networks (i.e., split tunneling)."
"95","283","2","SC","System and Communications Protection","SC.L2-3.13.8","Data in Transit","a","cryptographic mechanisms intended to prevent unauthorized disclosure of CUI are identified;"
"","284","","","","","","b","alternative physical safeguards intended to prevent unauthorized disclosure of CUI are identified; and"
"","285","","","","","","c","either cryptographic mechanisms or alternative physical safeguards are implemented to prevent unauthorized disclosure of CUI during transmission."
"96","286","2","SC","System and Communications Protection","SC.L2-3.13.9","Connections Termination","a","a period of inactivity to terminate network connections associated with communications sessions is defined;"
"","287","","","","","","b","network connections associated with communications sessions are terminated at the end of the sessions; and"
"","288","","","","","","c","network connections associated with communications sessions are terminated after the defined period of inactivity."
"97","289","2","SC","System and Communications Protection","SC.L2-3.13.10","Key Management","a","cryptographic keys are established whenever cryptography is employed; and"
"","290","","","","","","b","cryptographic keys are managed whenever cryptography is employed."
"98","291","2","SC","System and Communications Protection","SC.L2-3.13.11","CUI Encryption","a","FIPS-validated cryptography is employed to protect the confidentiality of CUI."
"99","292","2","SC","System and Communications Protection","SC.L2-3.13.12","Collaborative Device Control","a","collaborative computing devices are identified;"
"","293","","","","","","b","collaborative computing devices provide indication to users of devices in use; and"
"","294","","","","","","c","remote activation of collaborative computing devices is prohibited."
"100","295","2","SC","System and Communications Protection","SC.L2-3.13.13","Mobile Code","a","use of mobile code is controlled; and"
"","296","","","","","","b","use of mobile code is monitored."
"101","297","2","SC","System and Communications Protection","SC.L2-3.13.14","Voice over Internet Protocol","a","use of Voice over Internet Protocol (VoIP) technologies is controlled; and"
"","298","","","","","","b","use of Voice over Internet Protocol (VoIP) technologies is monitored."
"102","299","2","SC","System and Communications Protection","SC.L2-3.13.15","Communications Authenticity","a","the authenticity of communications sessions is protected."
"103","300","2","SC","System and Communications Protection","SC.L2-3.13.16","Data at Rest","a","the confidentiality of CUI at rest is protected."
"104","301","2","SI","System and Information Integrity","SI.L2-3.14.1","Flaw Remediation [CUI Data]","a","the time within which to identify system flaws is specified;"
"","302","","","","","","b","system flaws are identified within the specified time frame;"
"","303","","","","","","c","the time within which to report system flaws is specified;"
"","304","","","","","","d","system flaws are reported within the specified time frame;"
"","305","","","","","","e","the time within which to correct system flaws is specified; and"
"","306","","","","","","f","system flaws are corrected within the specified time frame."
"105","307","2","SI","System and Information Integrity","SI.L2-3.14.2","Malicious Code Protection [CUI Data]","a","designated locations for malicious code protection are identified; and"
"","308","","","","","","b","protection from malicious code at designated locations is provided."
"106","309","2","SI","System and Information Integrity","SI.L2-3.14.3","Security Alerts & Advisories","a","response actions to system security alerts and advisories are identified;"
"","310","","","","","","b","system security alerts and advisories are monitored; and"
"","311","","","","","","c","actions in response to system security alerts and advisories are taken."
"107","312","2","SI","System and Information Integrity","SI.L2-3.14.4","Update Malicious Code Protection [CUI Data]","a","malicious code protection mechanisms are updated when new releases are available."
"108","313","2","SI","System and Information Integrity","SI.L2-3.14.5","System & File Scanning [CUI Data]","a","the frequency for malicious code scans is defined;"
"","314","","","","","","b","malicious code scans are performed with the defined frequency; and"
"","315","","","","","","c","real-time malicious code scans of files from external sources as files are downloaded, opened, or executed are performed."
"109","316","2","SI","System and Information Integrity","SI.L2-3.14.6","Monitor Communications for Attacks","a","the system is monitored to detect attacks and indicators of potential attacks;"
"","317","","","","","","b","inbound communications traffic is monitored to detect attacks and indicators of potential attacks; and"
"","318","","","","","","c","outbound communications traffic is monitored to detect attacks and indicators of potential attacks."
